,sender,ccode,cname,year,cname_year,ccodecow,v2x_polyarchy,v2xme_alt_info_index,v2xel_clean_elections_index,v2xcs_civil_society_index,v2x_civil_liberties_index,ciri_empinx_new,ciri_empinx_old,ciri_physint,gd_ptsa,gd_ptsh,gd_ptss,p_polity,p_polity2,p_sf,ht_colonial,ht_partsz,ht_region,ht_regtype,ht_regtype1,US_colony,FR_UK_colony,latency_lab,latency_pilot,coup1,coup2,coup3,coup4,date1,date2,date3,date4,conflict,sum_conflict,max_conflict,one_sided_violence,best_fatality_estimated_osv,GDP_constant_2010_USD_WDI,GDP_growth_annual_WDI,GDPpc_constant_USD_WDI,pop_tot_WDI,threat_dyad,sanction_dyad,potential_sanction,democracy_sanction,additional_sanction,caseid,targetstate,EU,single_EU,US,single_US,UN,single_UN,combination,sender_combination,Euprimarysender,startyearEU,startdateEU,startyearUS,startdateUS,startyearUN,startdateUN,endyearEU,enddateEU,endyearUS,enddateUS,endyearUN,enddateUN,sender2,sender3,sender4,sender5,institution2,targetinstitution2,institution3,targetinstitution3,otherinstitution,multi,issue1,issue2,issue3,otherissue,threatEU,threatEU_id,threatEU_type,threatEU_type_other,threatUS,threatUS_id,threatUS_type,threatUS_type_other,threatUN,threatUN_id,threatUN_type,threatUN_type_other,impositionEU,impositionEU_year,impositionEU_start,impositionEU_id,impositionEU_type,impositionEU_type_other,impositionEU_econ,impositionEU_target,impositionEU_intensity,impositionEU_gradualism,impositionUS,impositionUS_year,impositionUS_start,impositionUS_id,impositionUS_type,impositionUS_type_other,impositionUS_econ,impositionUS_target,impositionUS_intensity,impositionUS_gradualism,impositionUN,impositionUN_year,impositionUN_start,impositionUN_id,impositionUN_type,impositionUN_type_other,impositionUN_econ,impositionUN_target,impositionUN_intensity,impositionUN_gradualism,finaloutcome,threat,threat_success,sanction,sanctions_success,success,policyresult,sanctioncontribution,HSEscore,datasource,link,comments
0,EU,4,Afghanistan,1989,Afghanistan 1989,700,0.0980217029646116,0.13932493420507172,0.07287640567322841,0.054326415517282525,0.117601085432917,3.0,2.0,0.0,4.0,,5.0,-8.0,-8.0,,0. Never colonized by a Western overseas colonial power,1.0,8. South Asia,Occupation,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,5.0,2.0,0,,,,,11608351.0,0,0,1,0,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EU,4,Afghanistan,1990,Afghanistan 1990,700,0.0956242210861699,0.16039465796598923,0.06517495258986679,0.054326415517282525,0.0891434767928875,2.0,2.0,0.0,4.0,,4.0,-8.0,-8.0,,0. Never colonized by a Western overseas colonial power,1.0,8. South Asia,Civil war,Other,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,07mar1990,,,,1,5.0,1.0,0,,,,,12067570.0,0,0,1,0,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EU,4,Afghanistan,1991,Afghanistan 1991,700,0.0971216419435137,0.16039465796598923,0.06517495258986679,0.054326415517282525,0.0847532581180498,3.0,0.0,1.0,4.0,,5.0,-8.0,-8.0,,0. Never colonized by a Western overseas colonial power,1.0,8. South Asia,Civil war,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,4.0,2.0,0,,,,,12789374.0,0,0,1,0,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EU,4,Afghanistan,1992,Afghanistan 1992,700,0.101876564500133,0.16039465796598923,0.06497755260476043,0.149648439337841,0.0829023481702649,,,,4.0,,5.0,,0.0,1.0,0. Never colonized by a Western overseas colonial power,0.40400001406669617,8. South Asia,Civil war,Other,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15apr1992,,,,1,3.0,2.0,0,,,,,13745630.0,0,0,1,0,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EU,4,Afghanistan,1993,Afghanistan 1993,700,0.096404906907772,0.11940673222597915,0.0,0.15973519459234514,0.0967109087072561,,,,4.0,,5.0,,0.0,1.0,0. Never colonized by a Western overseas colonial power,0.40400001406669617,8. South Asia,Civil war,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,3.0,2.0,1,26.0,,,,14824371.0,0,0,1,0,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,EU,4,Afghanistan,1994,Afghanistan 1994,700,0.096404906907772,0.11940673222597915,0.0,0.15973519459234514,0.0987002638387843,,,,5.0,,5.0,,0.0,1.0,0. Never colonized by a Western overseas colonial power,0.40400001406669617,8. South Asia,Civil war,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,3.0,2.0,0,,,,,15869967.0,0,0,1,0,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EU,4,Afghanistan,1995,Afghanistan 1995,700,0.096404906907772,0.11940673222597915,0.0,0.14391527096114132,0.0931753091258635,,,,5.0,,5.0,,0.0,1.0,0. Never colonized by a Western overseas colonial power,0.40400001406669617,8. South Asia,Civil war,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,4.0,2.0,0,,,,,16772522.0,0,0,1,0,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,EU,4,Afghanistan,1996,Afghanistan 1996,700,0.0784970863254018,0.07245564024971417,0.0,0.039676199097793435,0.0521969329209063,3.0,3.0,0.0,4.0,,5.0,-7.0,-7.0,1.0,0. Never colonized by a Western overseas colonial power,0.0,8. South Asia,Theocracy,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,3.0,2.0,0,,,,,17481800.0,0,1,1,1,.,1996121701,700.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,EU-US-UN,0.0,1996.0,17dec1996,1997.0,22may1997,1999.0,15oct1999,2002.0,27may2002,2002.0,02jul2002,2002.0,16jan2002,,,,,,,,,.,3.0,3.0,10.0,14.0,Surrender Osama bin Laden,0.0,.,.,.,0.0,.,.,.,1.0,UNSC,7;13,air embargo,1.0,1996.0,17dec1996,CFSP,12,.,3,3,9,1,1.0,1997.0,22may1997,GOV,7;12,.,4,3,12,2,1.0,1999.0,14nov1999,UNSC,4;7;9;12;13,air embargo,4,3,12,2,9.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,GIGA/TIES/HSE,https://piie.com/commentary/speeches-papers/case-99-1,Sanctions strength differs from usual coding
8,EU,4,Afghanistan,1997,Afghanistan 1997,700,0.0751419867331673,0.09360251451394448,0.0,0.039676199097793435,0.0454326403753068,3.0,1.0,0.0,5.0,,5.0,-7.0,-7.0,,0. Never colonized by a Western overseas colonial power,0.0,8. South Asia,Theocracy,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,1.0,2.0,1,323.0,,,,18034130.0,0,1,1,1,.,1996121701,700.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,EU-US-UN,0.0,1996.0,17dec1996,1997.0,22may1997,1999.0,15oct1999,2002.0,27may2002,2002.0,02jul2002,2002.0,16jan2002,,,,,,,,,.,3.0,3.0,10.0,14.0,Surrender Osama bin Laden,0.0,.,.,.,0.0,.,.,.,1.0,UNSC,7;13,air embargo,1.0,1996.0,17dec1996,CFSP,12,.,3,3,9,1,1.0,1997.0,22may1997,GOV,7;12,.,4,3,12,2,1.0,1999.0,14nov1999,UNSC,4;7;9;12;13,air embargo,4,3,12,2,9.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,GIGA/TIES/HSE,https://piie.com/commentary/speeches-papers/case-99-1,Sanctions strength differs from usual coding
9,EU,4,Afghanistan,1998,Afghanistan 1998,700,0.0751419867331673,0.09360251451394448,0.0,0.039676199097793435,0.0454326403753068,0.0,0.0,0.0,5.0,,5.0,-7.0,-7.0,,0. Never colonized by a Western overseas colonial power,0.0,8. South Asia,Theocracy,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,1.0,2.0,1,5801.0,,,,18511480.0,0,1,1,1,.,1996121701,700.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,EU-US-UN,0.0,1996.0,17dec1996,1997.0,22may1997,1999.0,15oct1999,2002.0,27may2002,2002.0,02jul2002,2002.0,16jan2002,,,,,,,,,.,3.0,3.0,10.0,14.0,Surrender Osama bin Laden,0.0,.,.,.,0.0,.,.,.,1.0,UNSC,7;13,air embargo,1.0,1996.0,17dec1996,CFSP,12,.,3,3,9,1,1.0,1997.0,22may1997,GOV,7;12,.,4,3,12,2,1.0,1999.0,14nov1999,UNSC,4;7;9;12;13,air embargo,4,3,12,2,9.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,GIGA/TIES/HSE,https://piie.com/commentary/speeches-papers/case-99-1,Sanctions strength differs from usual coding
